surgery,rachs,abc level,abc score,stmort category,stmort score,,,,,
pfo direct,1,1,3,1,0.2,,,,,
asd direct,1,1,3,1,0.2,,,,,
asd patch,1,1,3,1,0.1,,,,,
asd partial closure,1,1,3,3,0.9,,,,,
asd creation,4,1,4,4,2.5,,,,,
as fenestration,3,1,5,4,2.6,,,,,
cor triatriatum repair,3,2,6.8,2,0.7,,,,,
vsd direct,2,2,6,1,0.3,,,,,
vsd patch,2,2,6,1,0.2,,,,,
vsd multiple,3,3,9,2,0.7,,,,,
vs fenestration,2,2,7.5,3,0.8,,,,,
dcrv repair,2,2,7,1,0.2,,,,,
cavc repair,3,3,9,3,0.8,,,,,
pda ligation,1,1,3,2,0.4,,,,,
pa debanding,2,2,6,4,1.4,,,,,
shunt takedown,1,1,3.5,3,0.8,,,,,
papvr,1,1,5,1,0.3,,,,,
tapvr,2,3,9,4,1.9,,,,,
pv valvuplasty,2,1,5.6,2,0.5,,,,,
pv replacement,2,2,6.5,1,0.3,,,,,
tv valvuplasty,3,2,7,2,0.7,,,,,
mv valvuplasty,3,3,8,2,0.4,,,,,
av valvuplasty,2,3,8,2,0.4,,,,,
av replacement,3,2,7,1,0.3,,,,,
sam resection,2,2,6.3,1,0.2,,,,,
rv infundibulectomy,2,2,6.5,2,0.5,,,,,
tof without ventriculotomy,2,3,8,1,0.3,,,,,
tof nontransannular patch,2,2,7.5,1,0.3,,,,,
tof transannular patch,2,3,8,2,0.5,,,,,
mpa patch,2,2,6,2,0.4,,,,,
lpa patch,2,2,7.8,3,0.8,,,,,
rpa patch,2,2,7.8,3,0.8,,,,,
pa aneurysm repair,2,3,8,3,0.8,,,,,
aortic aneurysm repair,3,3,8.8,2,0.5,,,,,
vascular ring division,2,2,6,1,0.2,,,,,
unifocalization,4,4,11,4,1.7,,,,,
mapcas occlusion,2,2,7,3,0.8,,,,,
tof rv to pa conduit,3,3,8,2,0.7,,,,,
rv to pa conduit,3,2,7.5,3,1.2,,,,,
dorv repair,3,4,10.3,4,1.4,,,,,
rastelli operation,4,4,10,3,0.9,,,,,
coa repair extended,1,3,8,3,0.8,,,,,
interrupted aortic arch repair,4,4,10.8,4,2.1,,,,,
permanent pacemaker,1,1,3,2,0.4,,,,,
arcapa,3,4,10,2,0.5,,,,,
